tourney_id,tourney_name,surface,tourney_date,tourney_spectators,tourney_revenue
2019-M015,beijing,Hard,2019-09-30,8346.0,1125679.32
2019-0329,tokyo,Hard,2019-09-30,2074.0,370565.03
2019-5014,shanghai masters,Hard,2019-10-07,7091.0,1673300.47
2019-7485,antwerp,Hard,2019-10-14,3312.0,742679.43
2019-M014,moscow,Hard,2019-10-14,2923.0,593396.26
2019-0429,stockholm,Hard,2019-10-14,3701.0,736769.9
2019-0328,basel,Hard,2019-10-21,2733.0,644586.24
2019-0337,vienna,Hard,2019-10-21,3267.0,691345.81
2019-0352,paris masters,Hard,2019-10-28,5122.0,1180956.19
2019-0605,tour finals,Hard,2019-11-11,640.0,129706.65
2019-M-DC-2019-FLS-A-M-FRA-JPN-01,davis cup finals rr  fra vs jpn,Hard,2019-11-19,382.0,78384.44
2019-M-DC-2019-FLS-A-M-FRA-SRB-01,davis cup finals rr  fra vs srb,Hard,2019-11-21,422.0,79002.6
2019-M-DC-2019-FLS-A-M-SRB-JPN-01,davis cup finals rr  srb vs jpn,Hard,2019-11-20,347.0,71870.46
2019-M-DC-2019-FLS-B-M-CRO-ESP-01,davis cup finals rr  cro vs esp,Hard,2019-11-20,349.0,69606.6
2019-M-DC-2019-FLS-B-M-CRO-RUS-01,davis cup finals rr  cro vs rus,Hard,2019-11-18,303.0,60666.93
2019-M-DC-2019-FLS-B-M-ESP-RUS-01,davis cup finals rr  esp vs rus,Hard,2019-11-19,216.0,42617.03
2019-M-DC-2019-FLS-C-M-ARG-CHI-01,davis cup finals rr  arg vs chi,Hard,2019-11-19,424.0,81710.8
2019-M-DC-2019-FLS-C-M-ARG-GER-01,davis cup finals rr  arg vs ger,Hard,2019-11-20,406.0,78649.09
2019-M-DC-2019-FLS-C-M-GER-CHI-01,davis cup finals rr  ger vs chi,Hard,2019-11-21,487.0,89693.55
2019-M-DC-2019-FLS-D-M-AUS-COL-01,davis cup finals rr  aus vs col,Hard,2019-11-19,322.0,67110.03
2019-M-DC-2019-FLS-D-M-BEL-AUS-01,davis cup finals rr  bel vs aus,Hard,2019-11-20,442.0,91331.93
2019-M-DC-2019-FLS-D-M-BEL-COL-01,davis cup finals rr  bel vs col,Hard,2019-11-18,482.0,90783.1
2019-M-DC-2019-FLS-E-M-GBR-KAZ-01,davis cup finals rr  gbr vs kaz,Hard,2019-11-21,376.0,81737.7
2019-M-DC-2019-FLS-E-M-GBR-NED-01,davis cup finals rr  gbr vs ned,Hard,2019-11-20,325.0,65458.13
2019-M-DC-2019-FLS-E-M-KAZ-NED-01,davis cup finals rr  kaz vs ned,Hard,2019-11-19,506.0,99118.62
2019-M-DC-2019-FLS-F-M-ITA-CAN-01,davis cup finals rr  ita vs can,Hard,2019-11-18,354.0,68381.35
2019-M-DC-2019-FLS-F-M-USA-CAN-01,davis cup finals rr  usa vs can,Hard,2019-11-19,378.0,79630.12
2019-M-DC-2019-FLS-F-M-USA-ITA-01,davis cup finals rr  usa vs ita,Hard,2019-11-20,386.0,83211.54
2019-M-DC-2019-FLS-M-ARG-ESP-01,davis cup finals qf  arg vs esp,Hard,2019-11-22,320.0,64523.12
2019-M-DC-2019-FLS-M-AUS-CAN-01,davis cup finals qf  aus vs can,Hard,2019-11-21,479.0,90324.59
2019-M-DC-2019-FLS-M-CAN-ESP-01,davis cup finals f  can vs esp,Hard,2019-11-24,386.0,78480.44
2019-M-DC-2019-FLS-M-GBR-ESP-01,davis cup finals sf  gbr vs esp,Hard,2019-11-23,448.0,85983.72
2019-M-DC-2019-FLS-M-GBR-GER-01,davis cup finals qf  gbr vs ger,Hard,2019-11-22,366.0,70949.87
2019-M-DC-2019-FLS-M-RUS-CAN-01,davis cup finals sf  rus vs can,Hard,2019-11-23,299.0,62005.99
2019-M-DC-2019-FLS-M-SRB-RUS-01,davis cup finals qf  srb vs rus,Hard,2019-11-22,292.0,57149.75
2019-M-DC-2019-G1-AM-M-BRA-BAR-01,davis cup g1 r1  bra vs bar,Clay,2019-09-13,411.0,84236.84
2019-M-DC-2019-G1-AM-M-DOM-URU-01,davis cup g1 r1  dom vs uru,Clay,2019-09-14,364.0,74967.86
2019-M-DC-2019-G1-AM-M-ECU-VEN-01,davis cup g1 r1  ecu vs ven,Hard,2019-09-14,471.0,91677.72
2019-M-DC-2019-G1-AO-M-CHN-KOR-01,davis cup g1 r1  chn vs kor,Hard,2019-09-14,329.0,68153.35
2019-M-DC-2019-G1-AO-M-UZB-LBN-01,davis cup g1 r1  uzb vs lbn,Clay,2019-09-13,356.0,77671.89
2019-M-DC-2019-G1-EPA-M-AUT-FIN-01,davis cup g1 r1  aut vs fin,Hard,2019-09-13,348.0,70864.71
2019-M-DC-2019-G1-EPA-M-CZE-BIH-01,davis cup g1 r1  cze vs bih,Hard,2019-09-14,288.0,57908.78
2019-M-DC-2019-G1-EPA-M-HUN-UKR-01,davis cup g1 r1  hun vs ukr,Clay,2019-09-14,329.0,67571.0
2019-M-DC-2019-G1-EPA-M-POR-BLR-01,davis cup g1 r1  por vs blr,Hard,2019-09-13,456.0,88676.63
2019-M-DC-2019-G1-EPA-M-SUI-SVK-01,davis cup g1 r1  sui vs svk,Clay,2019-09-13,368.0,72817.6
2019-M-DC-2019-G1-EPA-M-SWE-ISR-01,davis cup g1 r1  swe vs isr,Hard,2019-09-13,384.0,71292.51
2019-M-DC-2019-G2-AM-M-GUA-BOL-01,davis cup g2 r1  gua vs bol,Hard,2019-09-13,364.0,75349.09
2019-M-DC-2019-G2-AM-M-MEX-PAR-01,davis cup g2 r1  mex vs par,Clay,2019-09-14,486.0,100842.51
2019-M-DC-2019-G2-AM-M-PER-ESA-01,davis cup g2 r1  per vs esa,Hard,2019-04-05,429.0,89836.34
2019-M-DC-2019-G2-AO-M-NZL-INA-01,davis cup g2 r1  nzl vs ina,Hard,2019-09-14,422.0,76121.74
2019-M-DC-2019-G2-AO-M-THA-PHI-01,davis cup g2 r1  tha vs phi,Hard,2019-04-05,486.0,95877.49
2019-M-DC-2019-G2-AO-M-TPE-HKG-01,davis cup g2 r1  tpe vs hkg,Hard,2019-09-14,358.0,69340.43
2019-M-DC-2019-G2-EPA-M-DEN-TUR-01,davis cup g2 r1  den vs tur,Hard,2019-09-13,389.0,85740.4
2019-M-DC-2019-G2-EPA-M-EGY-SLO-01,davis cup g2 r1  egy vs slo,Clay,2019-09-13,474.0,96349.95
2019-M-DC-2019-G2-EPA-M-LTU-MAR-01,davis cup g2 r1  ltu vs mar,Clay,2019-04-05,354.0,71981.23
2019-M-DC-2019-G2-EPA-M-NOR-GEO-01,davis cup g2 r1  nor vs geo,Clay,2019-09-13,422.0,83267.84
2019-M-DC-2019-G2-EPA-M-ROU-ZIM-01,davis cup g2 r1  rou vs zim,Hard,2019-04-05,426.0,87724.77
2019-M-DC-2019-G2-EPA-M-RSA-BUL-01,davis cup g2 r1  rsa vs bul,Hard,2019-09-13,355.0,71841.11
2019-M-DC-2019-QLS-M-AUS-BIH-01,davis cup qls r1  aus vs bih,Hard,2019-02-01,445.0,87134.42
2019-M-DC-2019-QLS-M-AUT-CHI-01,davis cup qls r1  aut vs chi,Clay,2019-02-01,419.0,87638.79
2019-M-DC-2019-QLS-M-BEL-BRA-01,davis cup qls r1  bel vs bra,Clay,2019-02-01,354.0,71781.54
2019-M-DC-2019-QLS-M-CAN-SVK-01,davis cup qls r1  can vs svk,Clay,2019-02-01,459.0,96987.09
2019-M-DC-2019-QLS-M-CZE-NED-01,davis cup qls r1  cze vs ned,Hard,2019-02-01,329.0,68822.6
2019-M-DC-2019-QLS-M-GER-HUN-01,davis cup qls r1  ger vs hun,Hard,2019-02-01,297.0,64634.41
2019-M-DC-2019-QLS-M-ITA-IND-01,davis cup qls r1  ita vs ind,Grass,2019-02-01,368.0,69642.88
2019-M-DC-2019-QLS-M-JPN-CHN-01,davis cup qls r1  jpn vs chn,Hard,2019-02-01,475.0,98630.78
2019-M-DC-2019-QLS-M-KAZ-POR-01,davis cup qls r1  kaz vs por,Hard,2019-02-01,474.0,96233.49
2019-M-DC-2019-QLS-M-SRB-UZB-01,davis cup qls r1  srb vs uzb,Hard,2019-02-01,399.0,78737.18
2019-M-DC-2019-QLS-M-SUI-RUS-01,davis cup qls r1  sui vs rus,Hard,2019-02-01,483.0,95051.95
2019-M-DC-2019-QLS-M-SWE-COL-01,davis cup qls r1  swe vs col,Clay,2019-02-01,446.0,85703.78
2018-M020,brisbane,Hard,2018-01-01,4154.0,741338.74
2018-0451,doha,Hard,2018-01-01,4012.0,693514.18
2018-0891,pune,Hard,2018-01-01,2433.0,454876.95
2018-0301,auckland,Hard,2018-01-08,2933.0,697395.19
2018-M001,sydney,Hard,2018-01-08,3123.0,635311.29
2018-580,australian open,Hard,2018-01-15,7195.0,1316125.97
2018-M-DC-2018-G1-EPA-M-AUT-BLR-01,davis cup g1 r1  aut vs blr,Clay,2018-02-02,462.0,99623.08
2018-M-DC-2018-G1-AM-M-CHI-ECU-01,davis cup g1 r1  chi vs ecu,Clay,2018-02-02,356.0,70575.12
2018-M-DC-2018-G1-AO-M-CHN-NZL-01,davis cup g1 r1  chn vs nzl,Hard,2018-02-02,444.0,86571.21
2018-M-DC-2018-G1-AM-M-COL-BAR-01,davis cup g1 r1  col vs bar,Hard,2018-02-02,461.0,92112.89
2018-M-DC-2018-G1-AM-M-DOM-BRA-01,davis cup g1 r1  dom vs bra,Hard,2018-02-02,375.0,75490.36
2018-M-DC-2018-G1-AO-M-KOR-PAK-01,davis cup g1 r1  kor vs pak,Grass,2018-02-02,546.0,109884.53
2018-M-DC-2018-G1-EPA-M-RSA-ISR-01,davis cup g1 r1  rsa vs isr,Hard,2018-02-02,313.0,61000.56
2018-M-DC-2018-G1-EPA-M-UKR-SWE-01,davis cup g1 r1  ukr vs swe,Hard,2018-02-02,344.0,73249.04
2018-M-DC-2018-WG-M-AUS-GER-01,davis cup wg r1  aus vs ger,Hard,2018-02-02,315.0,66409.35
2018-M-DC-2018-WG-M-CAN-CRO-01,davis cup wg r1  can vs cro,Clay,2018-02-02,494.0,93561.13
2018-M-DC-2018-WG-M-FRA-NED-01,davis cup wg r1  fra vs ned,Hard,2018-02-02,320.0,59577.31
2018-M-DC-2018-WG-M-GBR-ESP-01,davis cup wg r1  gbr vs esp,Clay,2018-02-02,354.0,76858.8
2018-M-DC-2018-WG-M-HUN-BEL-01,davis cup wg r1  hun vs bel,Hard,2018-02-02,438.0,80505.36
2018-M-DC-2018-WG-M-ITA-JPN-01,davis cup wg r1  ita vs jpn,Hard,2018-02-02,375.0,72885.67
2018-M-DC-2018-WG-M-KAZ-SUI-01,davis cup wg r1  kaz vs sui,Hard,2018-02-02,455.0,94523.61
2018-M-DC-2018-WG-M-USA-SRB-01,davis cup wg r1  usa vs srb,Clay,2018-02-02,428.0,87154.08
2018-M-DC-2018-G2-AM-M-BOL-PER-01,davis cup g2 r1  bol vs per,Clay,2018-02-03,463.0,97819.54
2018-M-DC-2018-G2-EPA-M-EGY-NOR-01,davis cup g2 r1  egy vs nor,Hard,2018-02-03,323.0,63376.6
2018-M-DC-2018-G2-AM-M-ESA-URU-01,davis cup g2 r1  esa vs uru,Hard,2018-02-03,345.0,72760.7
2018-M-DC-2018-G2-EPA-M-EST-LTU-01,davis cup g2 r1  est vs ltu,Hard,2018-02-03,390.0,82304.24
2018-M-DC-2018-G2-EPA-M-GEO-MAR-01,davis cup g2 r1  geo vs mar,Clay,2018-02-03,397.0,73671.0
2018-M-DC-2018-G2-AO-M-IRI-HKG-01,davis cup g2 r1  iri vs hkg,Hard,2018-02-03,450.0,86745.76
2018-M-DC-2018-G2-EPA-M-IRL-DEN-01,davis cup g2 r1  irl vs den,Hard,2018-02-03,484.0,92265.8
2018-M-DC-2018-G2-AO-M-LBN-TPE-01,davis cup g2 r1  lbn vs tpe,Hard,2018-02-03,495.0,95203.34
2018-M-DC-2018-G2-AO-M-PHI-INA-01,davis cup g2 r1  phi vs ina,Hard,2018-02-03,261.0,51323.97
2018-M-DC-2018-G2-AM-M-PUR-MEX-01,davis cup g2 r1  pur vs mex,Hard,2018-02-03,479.0,90802.28
2018-M-DC-2018-G2-EPA-M-ROU-LUX-01,davis cup g2 r1  rou vs lux,Hard,2018-02-03,501.0,102505.08
2018-M-DC-2018-G2-EPA-M-SLO-POL-01,davis cup g2 r1  slo vs pol,Hard,2018-02-03,491.0,109576.87
2018-M-DC-2018-G2-AO-M-THA-SRI-01,davis cup g2 r1  tha vs sri,Clay,2018-02-03,234.0,46624.62
2018-M-DC-2018-G2-EPA-M-TUN-FIN-01,davis cup g2 r1  tun vs fin,Hard,2018-02-03,532.0,103687.35
2018-M-DC-2018-G2-EPA-M-TUR-ZIM-01,davis cup g2 r1  tur vs zim,Hard,2018-02-03,373.0,69994.6
2018-M-DC-2018-G2-AM-M-VEN-GUA-01,davis cup g2 r1  ven vs gua,Hard,2018-02-03,421.0,78864.64
2018-0375,montpellier,Hard,2018-02-05,3686.0,818569.48
2018-7161,quito,Clay,2018-02-05,3340.0,675776.65
2018-7434,sofia,Hard,2018-02-05,3027.0,490046.5
2018-0506,buenos aires,Clay,2018-02-12,3081.0,693203.33
2018-0424,new york,Hard,2018-02-12,4181.0,1102491.53
2018-0407,rotterdam,Hard,2018-02-12,3634.0,644339.02
2018-0499,delray beach,Hard,2018-02-19,3118.0,630324.2
2018-0496,marseille,Hard,2018-02-19,3620.0,645356.89
2018-6932,rio de janeiro,Clay,2018-02-19,3003.0,634461.02
2018-M004,acapulco,Hard,2018-02-26,4113.0,867654.47
2018-0495,dubai,Hard,2018-02-26,4743.0,906337.38
2018-0533,sao paulo,Clay,2018-02-26,3085.0,640732.47
2018-M006,indian wells masters,Hard,2018-03-05,12311.0,1440594.0
2018-M007,miami masters,Hard,2018-03-19,13375.0,3601609.54
2018-M-DC-2018-G1-AM-M-ARG-CHI-01,davis cup g1 r2  arg vs chi,Clay,2018-04-06,426.0,85412.09
2018-M-DC-2018-G1-EPA-M-AUT-RUS-01,davis cup g1 r2  aut vs rus,Hard,2018-04-06,391.0,80387.45
2018-M-DC-2018-G1-EPA-M-BIH-SVK-01,davis cup g1 r2  bih vs svk,Clay,2018-04-06,475.0,88199.99
2018-M-DC-2018-G1-AM-M-COL-BRA-01,davis cup g1 r2  col vs bra,Hard,2018-04-06,419.0,83736.32
2018-M-DC-2018-G1-EPA-M-CZE-ISR-01,davis cup g1 r2  cze vs isr,Clay,2018-04-06,458.0,88340.52
2018-M-DC-2018-G1-AO-M-IND-CHN-01,davis cup g1 r2  ind vs chn,Hard,2018-04-06,324.0,59791.04
2018-M-DC-2018-G1-AO-M-PAK-UZB-01,davis cup g1 r2  pak vs uzb,Grass,2018-04-06,491.0,100012.46
2018-M-DC-2018-G1-EPA-M-POR-SWE-01,davis cup g1 r2  por vs swe,Hard,2018-04-06,519.0,100304.43
2018-M-DC-2018-WG-M-ESP-GER-01,davis cup wg qf  esp vs ger,Clay,2018-04-06,412.0,80260.55
2018-M-DC-2018-WG-M-FRA-ITA-01,davis cup wg qf  fra vs ita,Clay,2018-04-06,333.0,67159.78
2018-M-DC-2018-WG-M-KAZ-CRO-01,davis cup wg qf  kaz vs cro,Clay,2018-04-06,274.0,52625.37
2018-M-DC-2018-WG-M-USA-BEL-01,davis cup wg qf  usa vs bel,Hard,2018-04-06,410.0,78257.44
2018-M-DC-2018-G2-EPA-M-EGY-DEN-01,davis cup g2 r2  egy vs den,Hard,2018-04-07,396.0,79565.28
2018-M-DC-2018-G2-EPA-M-FIN-LTU-01,davis cup g2 r2  fin vs ltu,Hard,2018-04-07,432.0,87113.19
2018-M-DC-2018-G2-AO-M-HKG-LBN-01,davis cup g2 r2  hkg vs lbn,Hard,2018-04-07,436.0,88631.46
2018-M-DC-2018-G2-AM-M-MEX-PER-01,davis cup g2 r2  mex vs per,Hard,2018-04-07,563.0,108515.07
2018-M-DC-2018-G2-EPA-M-POL-ZIM-01,davis cup g2 r2  pol vs zim,Hard,2018-04-07,363.0,78404.35
2018-M-DC-2018-G2-EPA-M-ROU-MAR-01,davis cup g2 r2  rou vs mar,Hard,2018-04-07,419.0,86193.23
2018-M-DC-2018-G2-AO-M-THA-PHI-01,davis cup g2 r2  tha vs phi,Clay,2018-04-07,278.0,56010.75
2018-M-DC-2018-G2-AM-M-VEN-URU-01,davis cup g2 r2  ven vs uru,Clay,2018-04-07,416.0,86856.62
2018-0717,houston,Clay,2018-04-09,4134.0,640731.51
2018-0360,marrakech,Clay,2018-04-09,4975.0,1076272.11
2018-0410,monte carlo masters,Clay,2018-04-16,6671.0,1674385.39
2018-0425,barcelona,Clay,2018-04-23,5612.0,1082305.46
2018-7648,budapest,Clay,2018-04-23,3976.0,969609.76
2018-7290,estoril,Clay,2018-04-30,2814.0,517128.13
2018-7163,istanbul,Clay,2018-04-30,3063.0,677559.12
2018-0308,munich,Clay,2018-04-30,3578.0,717180.95
2018-M021,madrid masters,Clay,2018-05-07,8052.0,1787950.47
2018-M009,rome masters,Clay,2018-05-14,8346.0,1618264.0
2018-0322,geneva,Clay,2018-05-21,3325.0,802963.97
2018-7694,lyon,Clay,2018-05-21,3791.0,688541.6
2018-520,roland garros,Clay,2018-05-28,15269.0,2154203.3
2018-M010,s hertogenbosch,Grass,2018-06-11,3199.0,763471.28
2018-0321,stuttgart,Grass,2018-06-11,2600.0,486782.03
2018-0500,halle,Grass,2018-06-18,3509.0,627829.28
2018-0311,queen s club,Grass,2018-06-18,2924.0,521107.46
2018-7650,antalya,Grass,2018-06-25,2865.0,648173.83
2018-M016,eastbourne,Grass,2018-06-25,5119.0,840513.24
2018-540,wimbledon,Grass,2018-07-02,15979.0,3761778.69
2018-0316,bastad,Clay,2018-07-16,3684.0,670848.87
2018-0315,newport,Grass,2018-07-16,4300.0,1042468.28
2018-0439,umag,Clay,2018-07-16,3860.0,553049.23
2018-6116,atlanta,Hard,2018-07-23,2447.0,505775.49
2018-0314,gstaad,Clay,2018-07-23,1506.0,327165.29
2018-0414,hamburg,Clay,2018-07-23,3121.0,645332.51
2018-7480,los cabos,Hard,2018-07-30,3627.0,654685.03
2018-0319,kitzbuhel,Clay,2018-07-30,2690.0,472559.62
2018-M035,washington,Hard,2018-07-30,3056.0,488110.86
2018-0421,canada masters,Hard,2018-08-06,5628.0,1191762.82
2018-M024,cincinnati masters,Hard,2018-08-13,5852.0,1426858.92
2018-6242,winston salem,Hard,2018-08-20,8311.0,1593479.98
2018-560,us open,Hard,2018-08-27,12812.0,2492498.29
2018-M-DC-2018-G2-EPA-M-EGY-FIN-01,davis cup g2 r3  egy vs fin,Clay,2018-09-14,483.0,97939.06
2018-M-DC-2018-WG-PO-ARG-COL-01,davis cup wg po  arg vs col,Clay,2018-09-14,403.0,81773.09
2018-M-DC-2018-WG-PO-AUT-AUS-01,davis cup wg po  aut vs aus,Clay,2018-09-14,503.0,97698.89
2018-M-DC-2018-WG-PO-CAN-NED-01,davis cup wg po  can vs ned,Hard,2018-09-14,431.0,88900.96
2018-M-DC-2018-WG-PO-GBR-UZB-01,davis cup wg po  gbr vs uzb,Hard,2018-09-14,389.0,76863.83
2018-M-DC-2018-WG-PO-HUN-CZE-01,davis cup wg po  hun vs cze,Clay,2018-09-14,371.0,69362.45
2018-M-DC-2018-WG-PO-JPN-BIH-01,davis cup wg po  jpn vs bih,Hard,2018-09-14,476.0,95798.04
2018-M-DC-2018-WG-PO-SRB-IND-01,davis cup wg po  srb vs ind,Clay,2018-09-14,441.0,89799.77
2018-M-DC-2018-WG-PO-SUI-SWE-01,davis cup wg po  sui vs swe,Hard,2018-09-14,471.0,93121.27
2018-M-DC-2018-WG-M-CRO-USA-01,davis cup wg sf  cro vs usa,Clay,2018-09-14,482.0,100367.99
2018-M-DC-2018-WG-M-FRA-ESP-01,davis cup wg sf  fra vs esp,Hard,2018-09-14,470.0,89152.74
2018-M-DC-2018-G2-EPA-M-ROU-POL-01,davis cup g2 r3  rou vs pol,Clay,2018-09-15,350.0,71162.92
2018-M-DC-2018-G2-AO-M-THA-LBN-01,davis cup g2 r3  tha vs lbn,Hard,2018-09-15,352.0,68449.92
2018-M-DC-2018-G2-AM-M-URU-MEX-01,davis cup g2 r3  uru vs mex,Clay,2018-09-15,377.0,73309.69
2018-0341,metz,Hard,2018-09-17,4017.0,782344.76
2018-0568,st  petersburg,Hard,2018-09-17,3213.0,648250.1
2018-7581,chengdu,Hard,2018-09-24,3177.0,531009.95
2018-6967,shenzhen,Hard,2018-09-24,1755.0,328313.45
2018-M015,beijing,Hard,2018-10-01,6343.0,1078754.2
2018-0329,tokyo,Hard,2018-10-01,4174.0,738131.2
2018-5014,shanghai masters,Hard,2018-10-08,3898.0,691763.85
2018-7485,antwerp,Hard,2018-10-15,2443.0,579627.74
2018-M014,moscow,Hard,2018-10-15,3295.0,927243.32
2018-0429,stockholm,Hard,2018-10-15,3050.0,714174.41
2018-0328,basel,Hard,2018-10-22,3355.0,728942.32
2018-0337,vienna,Hard,2018-10-22,1941.0,405983.91
2018-0352,paris masters,Hard,2018-10-29,3920.0,634465.72
2018-7696,atp next gen finals,Hard,2018-11-05,447.0,87559.1
2018-0605,tour finals,Hard,2018-11-12,876.0,192794.01
2018-M-DC-2018-WG-M-FRA-CRO-01,davis cup wg f  fra vs cro,Clay,2018-11-23,402.0,75921.21
2017-1059,taipei,Hard,2017-11-13,3535.0,638954.72
2017-1072,limoges,Hard,2017-11-06,2790.0,470979.19
2017-1083,dalian,Hard,2017-09-04,3780.0,766473.92
2017-1084,hua hin,Hard,2017-11-06,4217.0,744207.59
2017-1095,honolulu,Hard,2017-11-20,3745.0,847184.01
2017-1100,mumbai,Hard,2017-11-20,2738.0,607207.89
2017-W-WITF-ARG-01A-2017,benavides  15k,Hard,2017-05-22,2057.0,393459.17
2017-W-WITF-ARG-02A-2017,villa del dique  15k,Clay,2017-05-29,2725.0,617014.64
2017-W-WITF-ARG-03A-2017,buenos aires  15k,Clay,2017-09-11,2736.0,453641.65
2017-W-WITF-ARG-04A-2017,villa del dique  15k,Clay,2017-10-02,2722.0,586927.36
2017-W-WITF-ARG-05A-2017,buenos aires  15k,Clay,2017-10-09,2952.0,517999.01
2017-W-WITF-AUS-01A-2017,perth  25k,Hard,2017-02-13,3321.0,776941.61
2017-W-WITF-AUS-01C-2017,burnie  60k,Hard,2017-01-30,2751.0,639879.39
2017-W-WITF-AUS-02A-2017,perth  25k,Hard,2017-02-20,3017.0,668628.65
2017-W-WITF-AUS-02B-2017,launceston  60k,Hard,2017-02-06,4144.0,813894.24
2017-W-WITF-AUS-03A-2017,clare  25k,Hard,2017-02-27,2956.0,556827.8
2017-W-WITF-AUS-04A-2017,mildura  25k,Grass,2017-03-06,3620.0,615552.23
2017-W-WITF-AUS-05A-2017,mornington  25k,Clay,2017-03-20,2379.0,426452.99
2017-W-WITF-AUS-06A-2017,mornington  25k,Clay,2017-03-27,3881.0,555089.28
2017-W-WITF-AUS-07A-2017,canberra  60k,Hard,2017-10-30,2000.0,462378.15
2017-W-WITF-AUS-08A-2017,bendigo  60k,Hard,2017-11-06,3764.0,623600.77
2017-W-WITF-AUS-09A-2017,penrith  25k,Hard,2017-09-18,3190.0,565595.04
2017-W-WITF-AUS-10A-2017,brisbane  25k,Hard,2017-09-25,2873.0,531279.53
2017-W-WITF-AUS-11A-2017,toowoomba  25k,Hard,2017-10-02,3899.0,749044.03
2017-W-WITF-AUS-12A-2017,cairns  25k,Hard,2017-10-09,3923.0,739293.74
2017-W-WITF-AUT-01A-2017,vienna  15k,Clay,2017-08-07,4245.0,953308.88
2017-W-WITF-AUT-02A-2017,graz  15k,Clay,2017-08-14,2693.0,622408.01
2017-W-WITF-BEL-01A-2017,brussels  15k,Clay,2017-07-17,2748.0,575913.45
2017-W-WITF-BEL-02A-2017,knokke  15k,Clay,2017-07-10,3467.0,736411.44
2017-W-WITF-BEL-03A-2017,de haan  15k,Clay,2017-06-26,3467.0,593403.99
2017-W-WITF-BEL-04A-2017,koksijde  25k,Clay,2017-08-07,2667.0,533942.94
